Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
MEDP,"Medpace Holdings, Inc.",30.7,1217012869,n/a,2016,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/medp
MDT,Medtronic plc,87.32,1.21788E+11,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/mdt
MPEL,Melco Crown Entertainment Limited,14.11,2405551111,170485550,2006,Consumer Services,Hotels/Resorts,http://www.nasdaq.com/symbol/mpel
MLNX,"Mellanox Technologies, Ltd.",44.03,2118030524,n/a,2007,Technology,Semiconductors,http://www.nasdaq.com/symbol/mlnx
MEMP,Memorial Production Partners LP,1.91,159454659.7,n/a,2011,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/memp
MRD,Memorial Resource Development Corp.,15.15,3121480442,n/a,2014,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/mrd
MENT,Mentor Graphics Corporation,24.37,2635761111,n/a,1984,Technology,EDP Services,http://www.nasdaq.com/symbol/ment
MELI,"MercadoLibre, Inc.",186.16,8220330601,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/meli
MBWM,Mercantile Bank Corporation,26.91,438077335.4,n/a,1998,Finance,Major Banks,http://www.nasdaq.com/symbol/mbwm
MERC,Mercer International Inc.,8.7,562839000.6,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/merc
MBVT,"Merchants Bancshares, Inc.",33.44,229864419.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/mbvt
MRK,"Merck & Company, Inc.",62.98,1.74153E+11,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/mrk
MCY,Mercury General Corporation,54.82,3029033654,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/mcy
MRCY,Mercury Systems Inc,22.88,923445700.3,n/a,1998,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/mrcy
MDP,Meredith Corporation,53.25,2373342968,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/mdp
EBSB,"Meridian Bancorp, Inc.",15.62,839211038.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ebsb
VIVO,Meridian Bioscience Inc.,19.5,820691371.5,n/a,1986,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/vivo
MMSI,"Merit Medical Systems, Inc.",24.49,1087191697,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/mmsi
MTH,Meritage Corporation,35.97,1439449043,n/a,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/mth
MTOR,"Meritor, Inc.",11.17,969144463.7,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/mtor
IPB,"Merrill Lynch & Co., Inc.",27.82,0,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/ipb
